time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:50:19 2026,29.126875,64261,100,702.8021413906823,2981.2681602637194,0,0,0,0,0,0,102,22,9,1,0,0
Wed Feb 18 15:50:20 2026,18.7596875,9928,35.83856978800656,1003.2701527208167,83.42235211596805,0,0,0,0,0,0,102,22,9,1,0,0
Wed Feb 18 15:50:21 2026,18.8096875,15350,35.79755868298063,1003.280644874355,83.33429521856351,0,0,0,0,0,0,96,20,8,1,0,0
Wed Feb 18 15:50:22 2026,18.867890625,21001,35.717224573944236,1003.2961030496446,83.20456163273049,0,0,0,0,0,0,96,20,8,1,0,0
Wed Feb 18 15:50:23 2026,18.92296875,26835,35.63088786274231,1003.2994822281906,83.17620190660361,0,0,0,0,0,0,96,20,8,1,0,0
Wed Feb 18 15:50:24 2026,18.9712109375,32494,35.52674743769966,1003.3053088037195,83.12730260454609,0,0,0,0,0,0,117,26,6,0,0,0
Wed Feb 18 15:50:26 2026,19.0145703125,37695,35.42219195147544,1003.3099307010015,83.08851368002499,0,0,0,0,0,0,117,26,6,0,0,0
Wed Feb 18 15:50:27 2026,19.04953125,42904,35.33404100769316,1003.312697096259,83.06529698558407,0,0,0,0,0,0,117,26,6,0,0,0
Wed Feb 18 15:50:28 2026,19.078828125,47659,35.233955626087,1003.3164167543163,83.03408021051062,0,0,0,0,0,0,111,24,5,0,0,0
Wed Feb 18 15:50:29 2026,19.09953125,52335,35.13310203558085,1003.316240265938,83.03556136551154,0,0,0,0,0,0,111,24,5,0,0,0
Wed Feb 18 15:50:30 2026,19.1161328125,56615,35.060459283054804,1003.3230550507628,82.97836935275117,0,0,0,0,0,0,111,24,5,0,0,0
Wed Feb 18 15:50:31 2026,19.13,60897,34.970467263537856,1003.3236176614816,82.97364774459551,0,0,0,0,0,0,117,27,5,0,0,0
Wed Feb 18 15:50:32 2026,19.14171875,64808,34.914539208437844,1003.3206217172738,82.99879068629131,0,0,0,0,0,0,117,27,5,0,0,0
Wed Feb 18 15:50:33 2026,19.1505078125,68576,34.8355445019366,1003.3213899898203,82.99234308651448,0,0,0,0,0,0,117,27,5,0,0,0
Wed Feb 18 15:50:34 2026,19.15578125,72243,34.77334920429115,1003.3146130542535,83.04921753087056,0,0,0,0,0,0,153,34,3,0,0,0
Wed Feb 18 15:50:35 2026,19.160859375,75636,34.72255313077409,1003.3144056102141,83.05095847965015,0,0,0,0,0,0,153,34,3,0,0,0
Wed Feb 18 15:50:36 2026,19.171796875,78618,34.68372082282926,1003.3135607189744,83.05804912927802,0,0,0,0,0,0,153,34,3,0,0,0
Wed Feb 18 15:50:37 2026,19.1815625,82005,34.639091953967835,1003.3176681604945,83.02357795836008,0,0,0,0,0,0,159,37,4,0,0,0
Wed Feb 18 15:50:38 2026,19.194453125,84915,34.6061565330754,1003.3235031337989,82.9746088971762,0,0,0,0,0,0,159,37,4,0,0,0
Wed Feb 18 15:50:39 2026,19.199921875,87671,34.561140442858516,1003.3256650803795,82.95646517187708,0,0,0,0,0,0,159,37,4,0,0,0
Wed Feb 18 15:50:40 2026,19.2005078125,90318,34.52136391590483,1003.321465133746,82.99171245381383,0,0,0,0,0,0,153,38,5,0,0,0
Wed Feb 18 15:50:41 2026,19.201484375,93756,34.498699940750825,1003.3248055666746,82.9636784733016,0,0,0,0,0,0,153,38,5,0,0,0
Wed Feb 18 15:50:42 2026,19.20109375,95574,34.47022220015514,1003.3258821430703,82.95464351629305,0,0,0,0,0,0,153,38,5,0,0,0
Wed Feb 18 15:50:43 2026,19.199140625,96431,34.44160214161836,1003.3157545056903,83.03963804421063,0,0,0,0,0,0,156,40,6,0,0,0
Wed Feb 18 15:50:44 2026,19.1985546875,99525,34.413116930278896,1003.3182310581859,83.01885392130193,0,0,0,0,0,0,156,40,6,0,0,0
Wed Feb 18 15:50:45 2026,19.19953125,100601,34.39615388677555,1003.3232948730732,82.97635668736008,0,0,0,0,0,0,156,40,6,0,0,0
